pid,starttime,endtime,duration,recordeddate,commitment,firstclick,lastclick,pagesubmit,clickcount,browser,browser_version,os,resolution,phoneos,phoneos_othertext,devicelock,unlock_parents,unlock_spouse,unlock_siblings,unlock_friends,unlock_children,unlock_otherfamily,unlock_colleagues,unlock_strangers,unlock_noone,unlock_others,unlock_otherstext,numbernotifications,checkfrequency,checkfrequencytext,screenwakeup,dnd,silent,turnoff,airplane,notificationapps,modeusereasons,view_home,view_meetings,view_classes,view_seminars,view_cafes,view_gatherings,view_stores,view_transport,view_others,view_otherstext,share_spouse,share_siblings,share_parents,share_children,share_friends,share_colleagues,share_strangers,share_reason,share_notallow,share_nothing,share_closeapps,share_clear,share_guestmode,share_applock,share_accessibility,share_watchuse,share_checkapps,share_other,share_othertext,clear_spouse,clear_siblings,clear_parents,clear_children,clear_friends,clear_colleagues,clear_strangers,lastnotificationapp,lnandroid_lockscreen,lnandroid_drawer,lnandroid_floating,lnandroid_appbadge,lnandroid_dontknow,lnandroid_other,lnandroid_othertext,lnios_lockscreen,lnios_notificationcenter,lnios_permbanner,lnios_tempbanner,lnios_appbadge,lnios_dontknow,lnios_other,lnios_othertext,ln_addresstime,ln_addresstimetext,lnaction_readpreview,lnaction_readcontent,lnaction_clearlockscreen,lnaction_clearcenter,lnaction_address,lnaction_nothing,lnaction_preventfurther,lnaction_other,lnaction_preventfurthertext,lnaction_othertext,ln_selfconcern,ln_selfconcerntext,ln_othersinfo,ln_othersinfotext,ln_othersconcern,negativeexperiences,negativeexperiencestext,nereason_shared,nereason_unlocked,nereason_notsilenced,nereason_screencast,nereason_sensitive,nereason_other,nereason_sensitivetext,nereason_othertext,appconcernfamily_im,appconcernfamily_social,appconcernfamily_calendar,appconcernfamily_email,appconcernfamily_banking,appconcernfamily_health,appconcernfamily_dating,appconcernfamily_reason,appconcerncolleague_im,appconcerncolleague_social,appconcerncolleague_calendar,appconcerncolleague_email,appconcerncolleague_banking,appconcerncolleague_health,appconcerncolleague_dating,appconcerncolleague_reason,applock_im,applock_social,applock_calendar,applock_email,applock_banking,applock_health,applock_dating,applock_work,applock_travel,applock_none,android_lockscreen,ios_preview,preview_im,preview_social,preview_calendar,preview_email,preview_banking,preview_work,preview_travel,preview_health,preview_dating,muipc_location,muipc_collectinfo,muipc_monitor,muipc_othersknow,muipc_privateinfo,muipc_privacyinvasion,gdd_1,gdd_2,gdd_3,gdd_4,gdd_5,birthyear,gender,gendertext,ethnicity_nativeamerican,ethnicity_asian,ethnicity_black,ethnicity_pi,ethnicity_white,ethnicity_hispanic,ethnicity_other,ethnicity_nosay,ethnicity_othertext,education,educationtext,employment_full,employment_part,employment_looking,employment_notlooking,employment_homemaker,employment_student,employment_retired,employment_disabled,employment_other,employment_nosay,employment_othertext,profession,fieldofstudy,income,yearsinusa,householdsize,marital,maritaltext,comments,attentioncheck1,attentioncheck1text,attentioncheck2
121,23/11/20 2:18,23/11/20 2:29,662,23/11/20 2:29,I will provide my best answers.,3.917,3.917,7.438,1,Chrome,86.0.4240.198,Windows NT 10.0,1920x1080,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,10 to 19,Once in about 30 minutes,NA,Sometimes,0,16,0,0,0,I use silent mode for the entire day except while I'm sleeping. I get notifications on my Fitbit and don't need my phone to either make noise / vibrate as well.,Never,Never,Never,Never,Never,Never,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,I never have any reason to share my phone with anybody.,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinterest,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,NA,NA,NA,NA,NA,Did not do anything,NA,NA,NA,NA,Completely unconcerned,It is a notification from Pinterest about someone re-pinning something I had saved. This isn't private at all to me.,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,N/A,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,Completely unconcerned,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,1985,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy technician,NA,"$30,000 to $39,999",More than 10 or All my life,2,Never Married,NA,NA,Translate,NA,Somewhat agree
122,23/11/20 2:12,23/11/20 2:41,1762,23/11/20 2:41,I will provide my best answers.,8.217,8.217,11.945,1,Chrome,86.0.4240.198,Windows NT 10.0,1364x768,Android,NA,Yes,Parents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Sometimes,0,4,1,1,3,no,Few times a week,Once a day,Once a day,Few times a week,Few times a week,Once a day,Few times a week,Once a day,Never,NA,Few times a day,Once a day,Few times a day,Once a day,Multiple times a week,Once a day,Multiple times a week,nothing,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lock app,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,nothing,No,NA,NA,1-2,anti virus include my phone,I had given my phone to another person when the notification arrived.,NA,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,nothing,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,nothing,NA,Social media,Calendar,E-mail,NA,NA,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,"Neither disagree, neither agree",1990,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,NA,"More than $100,000",More than 10 or All my life,4,Married,NA,nothing,Translate,NA,Somewhat agree
123,23/11/20 2:35,23/11/20 2:44,560,23/11/20 2:44,I will provide my best answers.,2.001,2.001,11.821,1,Chrome,86.0.4240.198,Windows NT 10.0,1366x768,Android,NA,Yes,Parents,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 to 19,Once in about 30 minutes,NA,Sometimes,1,5,0,0,2,NA,Few times a day,Few times a week,Few times a week,Few times a week,Once a day,Few times a week,Once a day,Once a day,Once a day,NA,Multiple times a day,Few times a week,Once a day,Few times a day,Multiple times a week,Multiple times a week,Never,NA,NA,NA,NA,NA,NA,Enable app locks,Change accessibility settings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,Yes,NA,Somewhat concerned,3-5,IGNORE MESSAGES,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,NONE,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,NA,NA,NA,NA,NA,NA,Health and fitness,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,1991,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,finance,NA,"$40,000 to $49,999",More than 10 or All my life,5,Married,NA,NA,Translate,NA,Somewhat agree
124,23/11/20 2:39,23/11/20 2:45,415,23/11/20 2:45,I will provide my best answers.,11.691,11.691,13.236,1,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,Android,NA,Yes,Parents,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 6 hours,NA,Sometimes,10,14,16,15,17,good,Once a day,Few times a day,Once a day,Once a day,Few times a day,Few times a week,Few times a week,Once a day,Once a day,NA,Multiple times a day,Few times a day,Multiple times a day,Few times a day,Multiple times a day,Few times a day,Few times a day,good,NA,NA,Close running applications,Clear notifications,NA,NA,NA,Watch over the other person's use of the phone,NA,NA,NA,Always,Sometimes,Always,Sometimes,Always,Always,Always,"Open your phone's Settings app. Notifications. Under ""Recently sent,"" find apps that recently sent you notifications. To find more apps",Lock Screen,Notification drawer,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,NA,NA,NA,Cleared it from the notification center/drawer,NA,NA,NA,NA,NA,NA,Extremely concerned,nice,Yes,NA,Extremely concerned,3-5,"Be honest to an extent: ...
Be positive even when speaking your negative: ...
Stick to very basic and too complicated qualities: ...",NA,I left the phone screen unlocked.,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,good,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,good,NA,NA,Calendar,NA,Banking and payments,Health and fitness,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,"Neither disagree, neither agree",1986,Male,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manager,NA,"$70,000 to $79,999",6,6,Married,NA,nice,Translate,NA,Somewhat agree
125,23/11/20 2:52,23/11/20 3:00,482,23/11/20 3:00,I will provide my best answers.,6.366,7.784,8.065,2,Chrome,87.0.4280.66,Windows NT 10.0,1920x1080,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,10 to 19,Once in about 30 minutes,NA,Most of the time,0,1,0,0,1,NA,Few times a day,Few times a week,Never,Never,Few times a week,Few times a month,Never,Never,NA,NA,Once a day,Never,Never,Never,Never,Never,Never,NA,NA,NA,NA,NA,NA,NA,NA,Watch over the other person's use of the phone,Check all the applications used by the person,NA,NA,NA,NA,NA,NA,NA,NA,NA,Twitter,Lock Screen,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),NA,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,3-5,Someone saw a personal text for me and got mad at me,NA,NA,NA,NA,The notification included sensitive content. (Please specify:),NA,It was a personal private text,NA,Somwhat concerned,Somwhat unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Extremely concerned,Somwhat unconcerned,Extremely concerned,NA,Somwhat concerned,Somwhat concerned,Somwhat unconcerned,Somwhat concerned,Extremely concerned,Somwhat unconcerned,Extremely concerned,NA,NA,NA,NA,NA,Banking and payments,NA,Dating,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,1989,Male,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleet Manager,NA,"$50,000 to $59,999",More than 10 or All my life,4,Never Married,NA,No,Translate,NA,Somewhat agree
126,23/11/20 2:56,23/11/20 3:03,435,23/11/20 3:03,I will provide my best answers.,2.366,2.366,58.29,1,Chrome,86.0.4240.193,Windows NT 10.0,1364x768,Android,NA,Yes,NA,NA,Siblings,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 6 hours,NA,Sometimes,1,4,0,1,3,it was based on the notifications.,Few times a week,Few times a month,Few times a month,Few times a month,Few times a week,Few times a month,Few times a month,Few times a month,Few times a month,parks,Less than once a week,Few times a week,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Less than once a week,i give my phone to my trusted people.,NA,NA,Close running applications,Clear notifications,NA,Enable app locks,NA,NA,NA,NA,NA,Sometimes,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,gaming apps.,NA,Notification drawer,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,1-2,it was about the app advertisement to hack my phone.,NA,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,NA,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,NA,NA,Social media,NA,E-mail,Banking and payments,Health and fitness,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Rather agree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree",1995,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data analyst,NA,"$60,000 to $69,999",More than 10 or All my life,5,Never Married,NA,great work.,Translate,NA,Somewhat agree
127,23/11/20 2:51,23/11/20 3:15,1402,23/11/20 3:15,I will provide my best answers.,4.091,4.091,12.258,1,Chrome,86.0.4240.198,Windows NT 10.0,1280x720,Android,NA,Yes,Parents,Spouse,Siblings,Friends,Children older than 13,Other family members,Colleagues,Strangers,NA,NA,NA,10 to 19,Once in about 24 hours,NA,Most of the time,3,8,1,0,13,NA,Once a day,Once a day,Once a day,Few times a day,Few times a week,Once a day,Once a day,Once a day,Once a day,NA,Never,Few times a week,Few times a week,Few times a week,Multiple times a week,Once a day,Multiple times a week,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,NA,Check all the applications used by the person,NA,NA,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,app notifications,Lock Screen,Notification drawer,Floating notification,App Badge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,Cleared it from the notification center/drawer,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Extremely concerned,NA,Yes,NA,Extremely concerned,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat unconcerned,NA,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,NA,Instant messaging,Social media,Calendar,E-mail,Banking and payments,Health and fitness,Dating,Apps for work,Travel and navigation,NA,Hide All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1982,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,analysis,NA,"$40,000 to $49,999",More than 10 or All my life,4,Married,NA,none,Translate,NA,Somewhat agree
128,23/11/20 6:55,23/11/20 9:33,9487,23/11/20 9:33,I will provide my best answers.,8.181,8.181,9.676,1,Chrome,87.0.4280.66,Windows NT 6.1,1920x1080,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 3 hours,NA,Never,9,9,0,0,9,NA,Few times a month,Never,Never,Never,Never,Never,Never,Never,Never,none,Less than once a week,Never,Never,Never,Never,Never,Never,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whatsapp,NA,NA,NA,NA,NA,Other. (Please specify:),sound,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,More than 20,When the notifications from Whatsapp are bombarding me.,NA,NA,I forgot to take appropriate actions to silence the notification.,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,N/A,NA,Extremely concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,N/A,NA,NA,NA,NA,E-mail,Banking and payments,NA,NA,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Neither disagree, neither agree",Rather agree,Rather agree,Agree,"Neither disagree, neither agree",1968,Female,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,NA,Employed part-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,freelancer,NA,"$70,000 to $79,999",More than 10 or All my life,4,Married,NA,none,Translate,NA,Somewhat agree
129,23/11/20 12:38,23/11/20 12:43,295,23/11/20 12:43,I will provide my best answers.,2.533,2.533,3.966,1,Firefox,83,Windows NT 10.0,1920x1080,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,0,Once in about 3 hours,NA,Sometimes,0,24,0,8,0,NA,Never,Never,Never,Never,Never,Never,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,google voice,NA,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,NA,NA,NA,NA,NA,NA,NA,Other. (Please specify:),NA,i was already in tha app,Completely unconcerned,NA,Other. (Please specify:),maybe,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,Banking and payments,NA,NA,NA,NA,NA,Hide All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,1971,Male,NA,NA,NA,NA,NA,NA,NA,Other. (Please specify:),NA,human,"College graduate (B.S., B.A., or other 4 year degree)",NA,NA,NA,NA,NA,NA,NA,NA,Disabled,NA,NA,NA,NA,NA,"Less than $10,000",More than 10 or All my life,1,Never Married,NA,NA,Translate,NA,Somewhat agree
130,23/11/20 12:41,23/11/20 12:49,489,23/11/20 12:49,I will provide my best answers.,2.086,2.086,6.965,1,Chrome,85.0.4183.102,Windows NT 6.3,1536x864,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,1 to 9,Once in about 1 hour,NA,Always,0,24,0,0,0,NA,Once a day,Once a day,Once a day,Once a day,Few times a week,Once a day,Once a day,Once a day,Never,None,N/A,Less than once a week,Less than once a week,N/A,Few times a week,Few times a week,Never,NA,NA,NA,Close running applications,Clear notifications,NA,Enable app locks,NA,NA,NA,NA,NA,N/A,Always,Always,Always,Always,Always,Always,Whatsapp,Lock Screen,NA,Floating notification,App Badge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,1-2,Friend sending messages regarding movie,I had given my phone to another person when the notification arrived.,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,Somwhat concerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat concerned,Completely unconcerned,Extremely concerned,None,Somwhat unconcerned,Somwhat unconcerned,Neither concerned nor unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat unconcerned,Somwhat unconcerned,NA,Instant messaging,NA,NA,NA,Banking and payments,NA,Dating,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,"Neither disagree, neither agree",Rather agree,Agree,Rather agree,Rather agree,1995,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"$20,000 to $29,999",More than 10 or All my life,4,Never Married,NA,None,Translate,NA,Somewhat agree
131,23/11/20 12:41,23/11/20 12:52,636,23/11/20 12:52,I will provide my best answers.,1.886,6.557,7.777,3,Chrome,87.0.4280.66,Windows NT 6.1,1366x768,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 to 19,Once in about 15 minutes,NA,Always,1,5,0,0,3,NA,Once a day,Once a day,Few times a week,Few times a week,Once a day,Once a day,Once a day,Few times a week,Never,Nothing,Few times a day,Once a day,Multiple times a week,Multiple times a week,Once a day,Multiple times a week,Once a day,NA,NA,NA,NA,NA,Enable guest mode or second space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,You tube,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,Yes,NA,Somewhat concerned,1-2,I was had most negative about a year ago. unrelated contents.,I had given my phone to another person when the notification arrived.,I left the phone screen unlocked.,NA,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Nothing,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,NA,NA,NA,NA,E-mail,Banking and payments,NA,NA,NA,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Rather agree,"Neither disagree, neither agree",Rather agree,Rather agree,Rather agree,1971,Male,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HR Manager,NA,"$90,000 to $99,999",More than 10 or All my life,More than 10,Married,NA,Nothing,Translate,NA,Somewhat agree
132,23/11/20 12:49,23/11/20 12:54,298,23/11/20 12:54,I will provide my best answers.,5.158,5.158,5.946,1,Chrome,87.0.4280.67,Macintosh,1280x800,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 3 hours,NA,Most of the time,0,24,0,0,0,NA,Never,Never,Never,Never,Never,Never,Never,Never,Never,NA,Few times a week,Never,Never,Never,Never,Never,Never,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather App,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banner (temporarily),NA,NA,NA,NA,within 30 minutes,NA,NA,NA,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,N/A,N/A,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,I don't know,Always,Always,Always,Always,Always,N/A,N/A,N/A,N/A,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,1997,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Some college,NA,NA,Employed part-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freelance Artist,NA,"Less than $10,000",More than 10 or All my life,3,Never Married,NA,NA,Translate,NA,Somewhat agree
133,23/11/20 12:41,23/11/20 12:55,879,23/11/20 12:55,I will provide my best answers.,2.659,2.659,13.339,1,Chrome,86.0.4240.198,Windows NT 10.0,1859x967,Android,NA,Yes,Parents,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 3 hours,NA,Sometimes,4,2,0,2,2,NA,Few times a week,Few times a week,Few times a week,Few times a month,Once a day,Few times a week,Few times a month,Once a day,Never,N/A,Once a day,Few times a week,Multiple times a week,Never,Multiple times a week,Few times a week,Few times a week,NA,NA,NA,NA,NA,Enable guest mode or second space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,whatsapp,NA,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Neither concerned nor unconcerned,NA,Neither concerned nor unconcerned,Extremely concerned,Somwhat concerned,Extremely concerned,Extremely concerned,Extremely concerned,Neither concerned nor unconcerned,NA,NA,Social media,NA,E-mail,Banking and payments,NA,Dating,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1993,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,assistant,NA,"$60,000 to $69,999",More than 10 or All my life,3,Never Married,NA,none,Translate,NA,Somewhat agree
